0-3VW8,30000995,20000146,8.75235061957777e+016,2.04252392508372e+016,5.05854617976782e+016,-0.0337650310683539,5,55,13,9,0
0-4VQL,30001779,20000263,2.866087722621e+017,3.08342836407474e+016,-1.19202907871186e+017,-0.534357946915883,12,15,8,9,0
0-6VZ5,30000838,20000123,1.48524468036476e+017,-3.24875120580289e+016,1.83175778352141e+017,-0.49915678870515,12,97,37,9,0
0-7XA8,30001904,20000281,-1.84904853788212e+017,6.22196209564959e+016,3.27365779513777e+017,-0.065041691367894,9,56,10,9,0
0-9UHT,30004510,20000658,-3.80448064352773e+017,4.64043001980663e+015,-9.8486262329792e+016,-0.0253932294172771,9,43,12,9,0
0-ARFO,30003693,20000538,-3.19850808483368e+017,4.17936285860595e+016,-2.57259440068558e+017,-0.500446622929383,4,10,1,9,0
0-BFTQ,30001287,20000188,-1.42707717900668e+017,1.14431995383594e+017,-2.9016871221566e+017,-0.174388343893935,10,55,11,9,0
0-G8NO,30000480,20000070,1.62493275852312e+017,-3.12574172029583e+016,2.24079436627376e+017,-0.686597771779881,9,60,7,9,0
0-GZX9,30002454,20000360,-4.38311206351033e+016,7.95464119169151e+016,-1.26274946321937e+017,-0.30272480909207,10,52,19,9,0
0-HDC8,30004756,20000695,-4.04698143194446e+017,6.0862616813195e+016,2.7833322285672e+017,-0.722110014084901,5,23,9,9,0
0-MX34,30004674,20000683,-7.94646595350664e+016,-4.79561306092207e+016,4.71990024846362e+017,-0.0850090511672036,5,26,2,9,0
0-N1BJ,30001150,20000168,2.05665647658511e+017,7.05411888079522e+016,-8.44043947714625e+016,-0.326975764080077,8,57,10,9,0
0-NTIS,30004930,20000721,-4.00583998623939e+017,8.16018892820772e+016,3.65436573212136e+017,-0.027562284752883,8,26,3,9,0
0-O2UT,30001322,20000192,-8.27937642764547e+016,1.17052323947563e+017,-3.44871882967274e+017,-0.421246447851839,6,51,8,9,0
0-O6XF,30003114,20000455,-1.2443703396257e+017,995019621030524,3.83539904013388e+017,-0.619790981903404,11,60,17,9,0
0-QP56,30003198,20000467,2.32774178128993e+017,3.68961658248131e+016,-1.48493407505969e+017,-0.350731787525737,8,22,4,9,0
0-R5TS,30000222,20000032,-6.72010468897618e+016,9.82072606258496e+016,-1.68139788973304e+017,-0.218626806080895,7,57,15,9,0
0-TRV1,30001065,20000156,1.77615869817851e+017,7.93215615408782e+016,-8.05875911457669e+016,-0.538695795470595,9,75,18,9,0
