0-8MWQ,20000042,10000003,-1.97104888720237e+016,8.473804130452e+016,-1.67961716935881e+017
0-YMZM,20000117,10000009,1.49354745003758e+017,-4.12171001792075e+016,1.57798434727792e+017
014U-A,20000126,10000010,-1.31975561560757e+017,1.04012241030495e+017,-2.1693517619001e+017
02QH-A,20000103,10000008,8.09943722718633e+016,1.76895294556452e+015,1.03993036168969e+017
03C-SU,20000130,10000010,-1.78384511274465e+017,1.10740299382246e+017,-2.13160711113078e+017
04-H4M,20000550,10000047,-1.47682648205223e+017,7.27091689628383e+016,1.67146094771426e+017
04-LOF,20000472,10000040,2.4994698781474e+017,4.68708853827422e+016,-1.22056518706749e+017
05-1B6,20000215,10000017,2.43097647923941e+016,8.53773285731465e+016,-2.18508500207105e+017
05M-I1,20000382,10000031,-4.62721531634544e+016,2.38008262117078e+016,3.60833155398027e+017
09-4XW,20000527,10000045,-9.220885701141e+016,5.33461999067856e+016,-4.24399053474818e+017
0A-73B,20000301,10000023,-3.19394067132735e+017,3.65273054064862e+016,-2.24160288174197e+017
0C-PZ4,20000633,10000055,-1.24603379214982e+017,7.54114722145993e+016,-4.01456106517481e+017
0EA3-8,20000116,10000009,1.08381641944456e+017,-3.65012861424896e+015,1.32609381775655e+017
0FC-ZX,20000077,10000006,1.22072758906032e+017,-1.67797177739814e+016,1.57619597580259e+017
0HD-6C,20000196,10000015,-7.22728997334341e+016,1.15871085178431e+017,-3.5572036548008e+017
0KTC-R,20000197,10000015,-8.24477321626745e+016,9.24544399875372e+016,-3.60418495108089e+017
0PS-L5,20000467,10000040,2.36818565248814e+017,4.21688067531648e+016,-1.53928713433487e+017
0VFS-G,20000062,10000004,8.19186474385738e+016,8.67333466824678e+016,-3.8077417785062e+017
0YMH-Q,20000115,10000009,1.15192825643198e+017,3.78936581899255e+016,1.10943572916189e+017
1-A81R,20000700,10000060,-4.63752466103099e+017,5.28053746995802e+016,2.37490986743777e+017
1-Z95W,20000213,10000017,3.6800668497686e+015,6.60272977329513e+016,-2.17194254267496e+017
17K-QM,20000682,10000059,-8.02024096683158e+016,-2.47166414830977e+016,4.62265945308572e+017
1A-WYQ,20000381,10000031,-4.26333424891107e+016,1.57033271900696e+015,3.61118129511464e+017
1ANT-J,20000644,10000056,-1.34273592513705e+016,-2.02294740734104e+016,3.62522945368287e+017
1D-65L,20000534,10000045,-1.16748577875113e+017,3.61383725009332e+016,-4.58300452818907e+017
1G-8KY,20000184,10000015,-1.70701767764399e+017,1.11076050825539e+017,-2.54829097012368e+017
1M4-FN,20000156,10000013,1.78228215450011e+017,7.3211930660942e+016,-7.63141087034716e+016
1P-VL2,20000124,10000010,-1.4894134273161e+017,8.43219574990979e+016,-1.99814357212184e+017
1RG-GU,20000069,10000005,6.58957615677702e+016,-2.41409465268631e+016,2.05869439168795e+017
